Property_description,Property_type,Address_of_property,Agent_of_property,Added_date,Updated_date,Price_of_Property,Number_of_rooms,Num_of_bathrooms,Num_of_toilets
Furnished 2 Bedroom Loft Apartment With Ample Parking Space,Block Of Flat,Ikate Elegushi Lekki Lagos,CWRE Lagos,30-Jan-23,11-Feb-23,"?5,500,000",2,2,3
Upscale 3 Bedroom Flat With Ample Parking Space,Block Of Flat,Victoria Island Lagos,CWRE Lagos,31-Jan-23,11-Feb-23,"?10,000,000",3,3,4
Semi Detached Bungalow,Bungalow,Bethel Estate Enugu Suburb Enugu Area Enugu,Shutdown Consults ,3-Jun-22,3-Jun-22,"?13,000,000",4,3,3
This Is An 80% Completed Newly Built 4 Bedroom Bungalow,Bungalow,Amorji Nike Enugu Suburb Enugu Area Enugu,Smart Tochukwu ,13-Dec-21,13-Dec-21,"?15,000,000",4,4,0
Paradaise Garden Estate,Duplex,12 Nowas Avenue Enugu Suburb Enugu Area Enugu,rubby ikechukwu,14-Jul-18,14-Jul-18,"?15,000,000",4,4,0
Paradise Garden Estate,Bungalow,Ugwuogo Nike Enugu Suburb Enugu Area Enugu,bentik homes,17-Jun-18,17-Jun-18,"?15,000,000",4,4,0
3 Bedroom Bungalow For Sale In Enugu Suburb,Bungalow,"Sanni Abacha Street, G.r.a Phase 6, Trans Ekulu, Enugu Enugu Suburb Enugu Area Enugu",Godwin Kalu & Co.,13-Apr-15,13-Apr-15,"?15,000,000",3,4,0
3 Bedroom Bungalow For Sale In Enugu Suburb,Bungalow,Sanni Abacha Street Enugu Suburb Enugu Area Enugu,Godwin Kalu & Co.,6-Jan-15,6-Jan-15,"?15,000,000",3,2,0
4 Bedroom Detached Bungalow Insuit Uncompleted,Bungalow,Word Of Fire Estate By British Adorable School Emene Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?16,000,000",4,5,5
4 Bedroom Detached Bungalow Insuit Uncompleted,Bungalow,Refiners Estate By British Adorable Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,5-Dec-22,5-Dec-22,"?16,000,000",4,5,5
3 Bedroom Bungalow For Sale In Enugu,Bungalow,North 8 Avenue Enugu Suburb Enugu Area Enugu,Godwin Kalu & Co.,31-May-16,31-May-16,"?17,000,000",3,2,3
"3 Bedroom Bungalow At New Gra, Enugu",Bungalow,"Tastefully Finished Newly Built 3 Bedroom Bungalow At New Gra, Enugu Enugu Suburb Enugu Area Enugu",Godwin Kalu & Co.,22-Sep-17,22-Sep-17,"?18,000,000",3,4,4
4 Bedroom Duplex For Sale In Enugu Suburb,Duplex,"Along Ugwogwo Opi Road, Nike Enugu Enugu Suburb Enugu Area Enugu",Nwokoma Nwankwo & Co.,4-Feb-15,4-Feb-15,"?18,000,000",4,4,0
Uncompleted 4 Bedroom Detached Bungalow,Bungalow,Refiners Estate By British Adorable Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,2-Dec-22,2-Dec-22,"?20,000,000",4,5,5
Uncompleted 3bedroom Semi Detached Twin Duplex,Duplex,Alulu Enugu Suburb Enugu Area Enugu,Unyimeabasi Ezekiel,17-Jul-17,17-Jul-17,"?21,000,000",3,4,0
Uncompleted 3 Bedroom Semi Detached Duplex,Duplex,Alulu Enugu Suburb Enugu Area Enugu,Unyimeabasi Ezekiel,17-Jul-17,17-Jul-17,"?21,000,000",3,4,0
Uncompleted 3bedroom Semi Detached Twin Duplex,Duplex,Alulu Enugu Suburb Enugu Area Enugu,Unyimeabasi Ezekiel,17-Jul-17,17-Jul-17,"?21,000,000",3,4,0
Uncompleted 3bedroom Twin Duplex,Duplex,Fidelis Nnaji Str Alulu Enugu Suburb Enugu Area Enugu,Unyimeabasi Ezekiel,17-Jul-17,17-Jul-17,"?21,000,000",3,4,4
Self Serviced Recently Built 5 Bedroom Semi Detached House+bq,Duplex,Banana Island Estate Banana Island Ikoyi Lagos,PRINCE ADEMOLA OSINUGA INTERNATIONAL ,12-Feb-23,12-Feb-23,"?25,000,000",5,5,6
Exclusive 3 Bedroom Detached Bungalow,Bungalow,Enugu Area Enugu,Chukwuma Dominic,1-Dec-22,1-Dec-22,"?25,000,000",3,3,4
4 Fully Detached Bedroom,Bungalow,"Winners Estate Behind New Gra, Phase Six Trans Ekulu Enugu Suburb Enugu Area Enugu",Chidiebube Daniel,13-Nov-20,13-Nov-20,"?26,000,000",4,5,0
Newly Renovated Two Detached Bungalow,Bungalow,Trans Ekulu Enugu Enugu Suburb Enugu Area Enugu,Favour Asadu,3-May-21,3-May-21,"?30,000,000",5,4,0
Newly Built 3 Bedroom Flat With All Modern Facilities,Block Of Flat,New Gra Transekulu Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?35,000,000",3,4,4
Newly Built 3 Bedroom Flat With All Modern Facilities,Block Of Flat,New Gra Transekulu Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?35,000,000",3,4,4
Newly Built 3 Bedroom Bungalow,Bungalow,New Gra Transekulu Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,15-Jan-23,15-Jan-23,"?35,000,000",3,4,4
Newly Built 3 Bedroom Bungalow,Bungalow,New Gra Transekulu Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,3-Jan-23,3-Jan-23,"?35,000,000",3,4,4
Newly Built 3 Bedroom Detached Bungalow,Bungalow,New Gra Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,30-Dec-22,30-Dec-22,"?35,000,000",3,4,4
Newly Built 3 Bedroom Bungalow All Insuit,Duplex,New Gra Enugu Suburb Enugu Area Enugu,Property world Africa network PWAN,30-Dec-22,30-Dec-22,"?35,000,000",3,4,4
Brand Fully Detached 3 Bedroom Bungalow With Bq In A Mini Estate,Bungalow,New Gra Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,13-Dec-22,13-Dec-22,"?35,000,000",3,4,4
Newly Built 3 Bedroom Bungalow,Bungalow,New Haven Extension Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,8-Dec-22,8-Dec-22,"?35,000,000",3,4,4
Brand New 3bedroom Detached Bungalow With A Room And Parlor Bq,Bungalow,New Gra In Transekulu Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,6-Dec-22,6-Dec-22,"?35,000,000",3,4,4
Brand New 3bedroom Detached Bungalow With A Room And Parlor Bq,Bungalow,New Gra In Transekulu Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,6-Dec-22,6-Dec-22,"?35,000,000",3,4,4
4 Bedrooms Bungalow,Bungalow,Enugu Area Enugu,Almon Real Estate Services,23-Aug-22,24-Nov-22,"?35,000,000",4,0,0
4 Bedrooms Bungalow,Bungalow,Enugu Area Enugu,Almon Real Estate Services,23-Aug-22,24-Nov-22,"?35,000,000",4,0,0
5 Bedroom Detached House For Sale In Enugu Suburb,Bungalow,"Republic, Independence Layout, Enugu Enugu Suburb Enugu Area Enugu",Godwin Kalu & Co.,17-Feb-15,17-Feb-15,"?35,000,000",5,5,0
5 Bedroom Detached House For Sale Within,Bungalow,Golf Estate Enugu Suburb Enugu Area Enugu,Godwin Kalu & Co.,31-May-16,31-May-16,"?38,000,000",4,4,5
Block Of 4 Flats With 2 Bedroom Each And A Penthouse,Block Of Flat,Abakpa Nike Enugu Suburb Enugu Area Enugu,Winniealfred Properties,22-Dec-22,15-Feb-23,"?40,000,000",4,0,0
Newly Built 3 Bedroom Bungalow,Bungalow,New Gra Enugu Enugu Area Enugu,Grace C Njuru,26-Jan-23,26-Jan-23,"?40,000,000",3,3,4
Brand New 3 Bedroom Bungalow With Jaccuzi Bath And Furnished Cabinets,Bungalow,Almond Estate Centenary City Lifestyle Enugu Area Enugu,Emmglo properties and roofing,18-Jan-23,18-Jan-23,"?40,000,000",3,4,4
Luxury Built Twin Bungalow,Bungalow,"Premier Layout, Idependence Layout Enugu Area Enugu",Onyekachukwu Umeh,1-Dec-22,1-Dec-22,"?40,000,000",3,3,4
Newly And Tastefully Built Duplex,Duplex,Emene Enugu Suburb Enugu Area Enugu,Favour Asadu,31-Aug-21,31-Aug-21,"?43,000,000",4,4,0
4 Bedroom Detached Bungalow,Bungalow,New Gra Transekulu Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?45,000,000",4,5,5
4 Bedroom Detached Bungalow,Bungalow,New Gra Transekulu Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,3-Jan-23,3-Jan-23,"?45,000,000",4,5,5
Tastefully Built 4 Bedroom Detached Bungalow Insuit In A Mini Estate,Bungalow,New Gra Transekulu Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,8-Dec-22,8-Dec-22,"?45,000,000",4,5,5
"For Sale: 4 Bedroom Semi Detached Duplex In An Estate, Independence Layout,enugu",Duplex,Within An Estate In Independence Layout Enugu Suburb Enugu Area Enugu,Godwin Kalu & Co.,10-Dec-17,10-Dec-17,"?45,000,000",4,4,0
4 Bedroom Detached Bungalow Insuit,Bungalow,Almond Garden City Centenary City Lifestyle Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,18-Jan-23,18-Jan-23,"?48,000,000",4,5,5
4 Bedroom Detached Bungalow Insuit With Bq,Bungalow,Premier Layout By Goshen Estate Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?50,000,000",4,5,5
